"Id produit";"Nom du produit";"Référence du produit";"ID du groupe client";"Nom du groupe client";"Prix spécifique"
8307;"Tapis Dacia Duster 2 - De 11/2017 à ce jour - Vendome";250540;19;"Remises Pro";12.650000
8307;"Tapis Dacia Duster 2 - De 11/2017 à ce jour - Vendome";250540;31;"Remises Pro +";12.080000
8306;"Tapis Citroen e-C4 100% électrique - De 09/2020 à ce jour - Vendome";250790;47;"Tarifs Dumortier Souyri";11.500000
8306;"Tapis Citroen e-C4 100% électrique - De 09/2020 à ce jour - Vendome";250790;19;"Remises Pro";12.650000
8306;"Tapis Citroen e-C4 100% électrique - De 09/2020 à ce jour - Vendome";250790;31;"Remises Pro +";12.080000
8305;"Tapis Citroen / Peugeot Berlingo Partner 2 Tepee - De 10/2018 à ce jour - Vendome";250520;47;"Tarifs Dumortier Souyri";11.500000
8305;"Tapis Citroen / Peugeot Berlingo Partner 2 Tepee - De 10/2018 à ce jour - Vendome";250520;19;"Remises Pro";12.650000
8305;"Tapis Citroen / Peugeot Berlingo Partner 2 Tepee - De 10/2018 à ce jour - Vendome";250520;31;"Remises Pro +";12.080000
8304;"Tapis Citroen Ami 100% électrique - De 06/2020 à ce jour - Vendome";250650;47;"Tarifs Dumortier Souyri";11.500000
8304;"Tapis Citroen Ami 100% électrique - De 06/2020 à ce jour - Vendome";250650;19;"Remises Pro";12.650000
8304;"Tapis Citroen Ami 100% électrique - De 06/2020 à ce jour - Vendome";250650;31;"Remises Pro +";12.080000
8303;"Tapis Renault Arkana - De 03/2021 à ce jour - Noir - Vendome";248670;47;"Tarifs Dumortier Souyri";11.500000
8303;"Tapis Renault Arkana - De 03/2021 à ce jour - Noir - Vendome";248670;19;"Remises Pro";12.650000
8303;"Tapis Renault Arkana - De 03/2021 à ce jour - Noir - Vendome";248670;31;"Remises Pro +";12.080000
8270;"Housses de siege auto - 2 sièges + 1 banquette fractionnable - Berlines";247190;3;Client;-1.000000
8270;"Housses de siege auto - 2 sièges + 1 banquette fractionnable - Berlines";247190;2;Invité;-1.000000
8270;"Housses de siege auto - 2 sièges + 1 banquette fractionnable - Berlines";247190;1;Visiteur;-1.000000
8263;"Housse de siege auto unitaire - 1 siège";247300;3;Client;-1.000000
8263;"Housse de siege auto unitaire - 1 siège";247300;2;Invité;-1.000000
8263;"Housse de siege auto unitaire - 1 siège";247300;1;Visiteur;-1.000000
8262;"Housses de siege auto Crete - 2 sièges + 1 banquette fractionnable - Aspect daim";247240;3;Client;-1.000000
8262;"Housses de siege auto Crete - 2 sièges + 1 banquette fractionnable - Aspect daim";247240;2;Invité;-1.000000
8262;"Housses de siege auto Crete - 2 sièges + 1 banquette fractionnable - Aspect daim";247240;1;Visiteur;-1.000000
8260;"Housses de siege auto Antarctique - 2 sièges + 1 banquette fractionnable";247510;3;Client;-1.000000
8260;"Housses de siege auto Antarctique - 2 sièges + 1 banquette fractionnable";247510;2;Invité;-1.000000
8260;"Housses de siege auto Antarctique - 2 sièges + 1 banquette fractionnable";247510;1;Visiteur;-1.000000
8252;"Housses de siege auto Rhodes - 2 sièges + 1 banquette fractionnable";246940;3;Client;-1.000000
